QALY,Cost,Delta_Cost,Delta_QALY,ICER,cost_scenario,transition_source,efficacy_duration,hr_factor
18.73785385350461,485659.26889057737,-3843.8649579350604,0.4877683530745429,-7880.513226629166,2940,_trial_high,20,0.75
18.596996526561227,490645.3113406317,1142.1774921192555,0.34691102613115987,3292.4219932041647,2940,_trial_high,20,0.5
18.434891130925973,496349.94457162893,6846.810723116505,0.18480563049590515,37048.7127732194,2940,_trial_high,20,0.25
20.15879139142216,457393.8133816211,-32109.32046689134,1.908705890992092,-16822.560572808736,2940,_trial_high,80,1.0
19.861822017152864,469412.0945231042,-20091.03932540823,1.6117365167227966,-12465.461393317613,2940,_trial_high,80,0.75
19.451897790704333,485685.4151033631,-3817.718745149323,1.2018122902742654,-3176.634800662657,2940,_trial_high,80,0.5
18.91563750524932,506471.4328011347,16968.29895262228,0.6655520048192543,25495.076011724144,2940,_trial_high,80,0.25
20.950365089907873,433168.65502038924,-56334.47882812319,2.7002795894778053,-20862.461445711797,2940,_trial_high,lifetime,1.0
20.54815832524917,451785.1396777142,-37717.99417079822,2.2980728248191014,-16412.880289712877,2940,_trial_high,lifetime,0.75
19.964122869980063,478661.72242056957,-10841.411427942861,1.7140373695499953,-6325.072965468176,2940,_trial_high,lifetime,0.5
19.19005150212653,513333.62667910394,23830.49283059151,0.9399660016964617,25352.505077398495,2940,_trial_high,lifetime,0.25
20.38698755975172,396771.776962543,6358.255943267606,0.08257102121299198,77003.47954842998,6829,_trial_low,6,1.0
20.367208178366887,397451.3048856507,7037.783866375277,0.06279163982815916,112081.54279193,6829,_trial_low,6,0.75
20.34686192439947,398150.4048936354,7736.883874360006,0.042445385860741425,182278.561437605,6829,_trial_low,6,0.5
20.325935746984367,398869.500791888,8455.979772612569,0.021519208445639038,392950.31664262776,6829,_trial_low,6,0.25
20.539378146676388,412996.344169304,22582.82315002859,0.23496160813765954,96112.82170318541,6829,_trial_low,20,1.0
20.488018702154537,414819.07649748237,24405.555478206952,0.1836021636158094,132926.29562512122,6829,_trial_low,20,0.75
20.43197578434377,416807.5186896249,26393.99767034949,0.12755924580504185,206915.59834627254,6829,_trial_low,20,0.5
